Date,Close,Open,High,Low
22/05/2019,1.1152,1.1167,1.1181,1.1147
23/05/2019,1.118,1.1151,1.1189,1.1107
24/05/2019,1.1202,1.1182,1.1214,1.1174
27/05/2019,1.1196,1.1196,1.1216,1.1185
28/05/2019,1.116,1.1199,1.1204,1.1158
29/05/2019,1.1129,1.1161,1.1174,1.1123
30/05/2019,1.113,1.1132,1.1145,1.1115
31/05/2019,1.1167,1.1135,1.118,1.1125
3/6/2019,1.124,1.1168,1.1264,1.1156
4/6/2019,1.1251,1.1241,1.1279,1.1226
5/6/2019,1.1219,1.1251,1.1307,1.1219
6/6/2019,1.1274,1.1229,1.1309,1.1214
7/6/2019,1.1331,1.1276,1.1349,1.125
10/6/2019,1.1312,1.1324,1.1331,1.1289
11/6/2019,1.1329,1.1312,1.1338,1.1301
12/6/2019,1.1287,1.1326,1.1344,1.1281
13/06/2019,1.1275,1.1287,1.1305,1.1267
14/06/2019,1.1207,1.1283,1.1291,1.1201
17/06/2019,1.1217,1.1216,1.1248,1.1204
18/06/2019,1.1191,1.1219,1.1243,1.118
19/06/2019,1.1224,1.1193,1.1254,1.1186
20/06/2019,1.1291,1.1226,1.1319,1.1226
21/06/2019,1.1366,1.1292,1.1379,1.1282
24/06/2019,1.1396,1.1361,1.1405,1.1361
25/06/2019,1.1365,1.1399,1.1413,1.1343
26/06/2019,1.1368,1.1365,1.1392,1.1348
27/06/2019,1.1368,1.1369,1.1382,1.1348
28/06/2019,1.1368,1.137,1.1394,1.1351
1/7/2019,1.1285,1.1376,1.1376,1.128
2/7/2019,1.1283,1.1286,1.1321,1.1274
3/7/2019,1.1277,1.1285,1.1312,1.1268
4/7/2019,1.1284,1.1278,1.1296,1.1272
5/7/2019,1.1224,1.1285,1.1288,1.1207
8/7/2019,1.1214,1.1223,1.1235,1.1207
9/7/2019,1.1206,1.1215,1.122,1.1193
10/7/2019,1.1249,1.1208,1.1264,1.1201
11/7/2019,1.1252,1.1251,1.1286,1.1244
12/7/2019,1.1269,1.1254,1.1276,1.1237
15/07/2019,1.1257,1.1269,1.1285,1.1252
16/07/2019,1.1209,1.1257,1.1264,1.1201
17/07/2019,1.1223,1.1211,1.1235,1.12
